"Артикул","Наименование товара","Единица измерения","Цена","Поставщик","Производитель","Категория товара","Действующая скидка","Кол-во на складе","Описание товара","Фото"
article,product_name,unit,price,supplier,manufacturer,category,current_discount,stock_quantity,description,image
"А112Т4","Ботинки","шт.","4990","2","1","0","3","6","Женские Ботинки демисезонные kari","1.jpg"
"F635R4","Ботинки","шт.","3244","3","2","0","2","13","Ботинки Marco Tozzi женские демисезонные, размер 39, цвет бежевый","2.jpg"
"H782T5","Туфли","шт.","4499","2","1","1","4","5","Туфли kari мужские классика MYZ21AW-450A, размер 43, цвет: черный","3.jpg"
"G783F5","Ботинки","шт.","5900","2","3","1","2","8","Мужские ботинки Рос-Обувь кожаные с натуральным мехом","4.jpg"
"J384T6","Ботинки","шт.","3800","3","4","1","2","16","B3430/14 Полуботинки мужские Rieker","5.jpg"
"D572U8","Кроссовки","шт.","4100","3","3","1","3","6","129615-4 Кроссовки мужские","6.jpg"
"F572H7","Туфли","шт.","2700","2","2","0","2","14","Туфли Marco Tozzi женские летние, размер 39, цвет черный","7.jpg"
"D329H3","Полуботинки","шт.","1890","3","5","0","4","4","Полуботинки Alessio Nesca женские 3-30797-47, размер 37, цвет: бордовый","8.jpg"
"B320R5","Туфли","шт.","4300","2","4","0","2","6","Туфли Rieker женские демисезонные, размер 41, цвет коричневый","9.jpg"
"G432E4","Туфли","шт.","2800","2","1","0","3","15","Туфли kari женские TR-YR-413017, размер 37, цвет: черный","10.jpg"
"S213E3","Полуботинки","шт.","2156","3","6","1","3","6","407700/01-01 Полуботинки мужские CROSBY",""
"E482R4","Полуботинки","шт.","1800","2","1","0","2","14","Полуботинки kari женские MYZ20S-149, размер 41, цвет: черный",""
"S634B5","Кеды","шт.","5500","3","6","1","3","0","Кеды Caprice мужские демисезонные, размер 42, цвет черный",""
"K345R4","Полуботинки","шт.","2100","3","6","1","2","3","407700/01-02 Полуботинки мужские CROSBY",""
"O754F4","Туфли","шт.","5400","3","4","0","4","18","Туфли женские демисезонные Rieker артикул 55073-68/37",""
"G531F4","Ботинки","шт.","6600","2","1","0","12","9","Ботинки женские зимние ROMER арт. 893167-01 Черный",""
"J542F5","Тапочки","шт.","500","2","1","1","13","0","Тапочки мужские Арт.70701-55-67син р.41",""
"B431R5","Ботинки","шт.","2700","3","4","1","2","5","Мужские кожаные ботинки/мужские ботинки",""
"P764G4","Туфли","шт.","6800","2","6","0","15","15","Туфли женские, ARGO, размер 38",""
"C436G5","Ботинки","шт.","10200","2","5","0","15","9","Ботинки женские, ARGO, размер 40",""
"F427R5","Ботинки","шт.","11800","3","4","0","15","11","Ботинки на молнии с декоративной пряжкой FRAU",""
"N457T5","Полуботинки","шт.","4600","2","6","0","3","13","Полуботинки Ботинки черные зимние, мех",""
"D364R4","Туфли","шт.","12400","2","1","0","16","5","Туфли Luiza Belly женские Kate-lazo черные из натуральной замши",""
"S326R5","Тапочки","шт.","9900","3","6","1","17","15","Мужские кожаные тапочки ""Профиль С.Дали"" ",""
"L754R4","Полуботинки","шт.","1700","2","1","0","2","7","Полуботинки kari женские WB2020SS-26, размер 38, цвет: черный",""
"M542T5","Кроссовки","шт.","2800","3","4","1","18","3","Кроссовки мужские TOFA",""
"D268G5","Туфли","шт.","4399","3","4","0","3","12","Туфли Rieker женские демисезонные, размер 36, цвет коричневый",""
"T324F5","Сапоги","шт.","4699","2","6","0","2","5","Сапоги замша Цвет: синий",""
"K358H6","Тапочки","шт.","599","2","4","1","20","2","Тапочки мужские син р.41",""
"H535R5","Ботинки","шт.","2300","3","4","0","2","7","Женские Ботинки демисезонные",""
